,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,Santa Maria,-29.6842,-53.8069,77.0,83,75,5.75,BR,1612118304
80,La Libertad,-2.2333,-80.9,86.0,66,0,6.91,EC,1612118345
81,Coyhaique,-45.5752,-72.0662,77.0,29,20,6.91,CL,1612118345
82,Mareeba,-17.0,145.4333,77.0,83,53,5.75,AU,1612118346
83,São Raimundo Nonato,-9.0153,-42.6994,90.84,39,74,5.7,BR,1612118346
84,East London,-33.0153,27.9116,73.4,88,0,3.44,ZA,1612118223
85,Henties Bay,-22.116,14.2845,66.0,83,67,8.72,NA,1612118349
86,Ampanihy,-24.7,44.75,79.38,78,100,3.15,MG,1612118349
87,Constitución,-35.3333,-72.4167,65.37,71,27,10.02,CL,1612118156
88,Posse,-14.0931,-46.3694,85.03,47,79,0.29,BR,1612118351
89,Manggar,-2.8833,108.2667,78.8,86,81,10.47,ID,1612118351
90,Vanimo,-2.6741,141.3028,77.56,89,100,10.54,PG,1612118351
91,Kavieng,-2.5744,150.7967,83.19,79,100,10.42,PG,1612118352
92,Kawalu,-7.3817,108.2082,72.25,87,100,2.93,ID,1612118352
93,Port Lincoln,-34.7333,135.8667,61.56,80,100,11.95,AU,1612118169
94,Souillac,-20.5167,57.5167,80.6,78,40,12.66,MU,1612118354
95,Wellington,-41.2866,174.7756,57.2,82,97,12.66,NZ,1612118108
96,Chui,-33.6971,-53.4616,69.3,84,100,17.05,UY,1612118356
97,Kaeo,-35.1,173.7833,55.99,93,0,3.0,NZ,1612118356
98,Kasangulu,-4.5911,15.1708,77.0,78,75,13.8,CD,1612118357
99,Oeiras,-7.0253,-42.1311,88.65,51,100,4.16,BR,1612118357
100,Chimoio,-19.1164,33.4833,77.0,94,20,6.91,MZ,1612118357
101,Neuquén,-38.9516,-68.0591,68.0,60,75,8.05,AR,1612118358
102,Alofi,-19.0595,-169.9187,75.2,100,100,6.91,NU,1612118359
103,Camaná,-16.6228,-72.7111,75.24,61,0,9.93,PE,1612118360
104,Mount Gambier,-37.8333,140.7667,51.8,100,100,4.61,AU,1612118363
105,Esperance,-33.8667,121.9,59.0,88,22,6.91,AU,1612118363
106,Broken Hill,-31.95,141.4333,73.4,28,75,6.91,AU,1612118364
107,Oeiras do Pará,-2.0031,-49.8544,89.56,55,70,5.26,BR,1612118365
108,Luau,-10.7073,22.2247,67.39,96,100,3.58,AO,1612118365
109,Amahai,-3.3333,128.9167,78.89,76,100,3.96,ID,1612118366
110,Vallenar,-28.5708,-70.7581,87.22,23,0,12.44,CL,1612118340
111,Kasama,-10.2129,31.1808,65.91,93,100,4.97,ZM,1612118367
112,Yeppoon,-23.1333,150.7333,73.4,83,40,4.61,AU,1612118070
113,Antalaha,-14.9003,50.2788,77.05,82,9,5.19,MG,1612118368
114,Bonito,-21.1211,-56.4819,83.89,75,62,7.78,BR,1612118368
115,Antofagasta,-23.65,-70.4,73.99,60,20,17.27,CL,1612118186
116,Kununurra,-15.7667,128.7333,78.8,83,75,1.14,AU,1612118370
117,Port Hedland,-20.3167,118.5667,77.0,88,75,19.57,AU,1612118371
118,Taguatinga,-12.3857,-46.5711,91.67,39,71,2.15,BR,1612118371
119,Christchurch,-43.5333,172.6333,57.0,94,40,2.3,NZ,1612118200
120,Tuban,-6.8976,112.0649,77.27,84,100,15.61,ID,1612118373
121,Saldanha,-33.0117,17.9442,66.67,90,76,7.0,ZA,1612118373
122,Mayumba,-3.432,10.6554,79.43,82,100,4.88,GA,1612118373
123,Ancud,-41.8697,-73.8203,69.8,43,0,6.91,CL,1612118374
124,Angoram,-4.0625,144.0661,73.58,98,100,4.23,PG,1612118374
125,Buala,-8.145,159.5921,81.23,80,100,14.32,SB,1612118375
126,Manokwari,-0.8667,134.0833,78.03,79,100,8.63,ID,1612118377
127,Byron Bay,-28.65,153.6167,71.6,73,40,5.75,AU,1612118377
128,Daru,-9.0763,143.2092,77.68,88,99,11.52,PG,1612118378
129,Calama,-22.4667,-68.9333,77.0,9,0,23.02,CL,1612118378
130,Burnie,-41.0667,145.9167,60.04,89,56,5.19,AU,1612118378
131,Chiredzi,-21.05,31.6667,76.46,72,1,6.89,ZW,1612118379
132,Bambanglipuro,-7.95,110.2833,77.02,83,100,3.47,ID,1612118200
133,Porto Belo,-27.1578,-48.5531,91.4,49,0,6.91,BR,1612118380
134,Manono,-7.3,27.4167,73.11,93,100,2.46,CD,1612118381
135,Taltal,-25.4,-70.4833,72.75,57,22,7.27,CL,1612118381
136,Bukama,-9.2,25.85,71.56,91,100,1.3,CD,1612118382
137,Wanaka,-44.7,169.15,59.0,66,98,3.0,NZ,1612118328
138,Omboué,-1.5746,9.2618,78.53,84,100,4.14,GA,1612118385
139,Metro,-5.1131,105.3067,74.55,92,100,4.56,ID,1612118386
140,Saint-Joseph,-21.3667,55.6167,80.6,65,0,8.05,RE,1612118387
141,Clarence Town,-32.5833,151.7833,70.0,100,90,6.91,AU,1612118388
142,Nhulunbuy,-12.2333,136.7667,77.0,94,1,4.61,AU,1612118389
143,Iquitos,-3.7481,-73.2472,77.0,88,75,5.75,PE,1612118389
144,Maceió,-9.6658,-35.7353,86.0,66,40,12.66,BR,1612118389
145,Saint-Leu,-21.15,55.2833,80.6,65,0,8.05,RE,1612118390
