City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Saskylakh,71.9167,114.0833,238.25,83,87,3.61,RU,1612117373
82,Ipirá,-12.1583,-39.7372,305.56,38,61,4.99,BR,1612117524
83,Narsaq,60.9167,-46.05,277.15,30,75,11.83,GL,1612117524
84,Sengiley,53.9622,48.7944,271.15,100,90,12.0,RU,1612117524
85,Liwale,-9.7667,37.9333,295.09,97,100,2.54,TZ,1612117525
86,Kieta,-6.2167,155.6333,300.57,79,100,5.39,PG,1612117525
87,Severo-Kuril'sk,50.6789,156.125,267.45,94,98,18.38,RU,1612117525
88,Deputatsky,69.3,139.9,236.71,86,98,0.66,RU,1612117525
89,Seoul,37.5683,126.9778,279.15,87,90,2.06,KR,1612117525
90,Mahébourg,-20.4081,57.7,300.15,78,40,5.66,MU,1612117374
91,São João da Barra,-21.6403,-41.0511,304.15,48,0,10.29,BR,1612117343
92,Isangel,-19.55,169.2667,298.71,81,69,6.07,VU,1612117526
93,Nikolskoye,59.7035,30.7861,269.26,93,90,4.0,RU,1612117338
94,Pevek,69.7008,170.3133,240.47,84,79,0.55,RU,1612117265
95,Samarai,-10.6167,150.6667,301.08,75,58,6.61,PG,1612117526
96,Shimoda,34.6667,138.95,275.37,62,79,3.16,JP,1612117526
97,Vao,-22.6667,167.4833,297.52,75,99,11.32,NC,1612117253
98,Cap Malheureux,-19.9842,57.6142,300.37,75,36,4.02,MU,1612117527
99,Kaitangata,-46.2817,169.8464,288.71,91,100,0.45,NZ,1612117527
100,Yārāda,17.65,83.2667,298.15,83,75,1.54,IN,1612117527
101,Homer,59.6425,-151.5483,265.15,79,1,1.54,US,1612117527
102,Tasiilaq,65.6145,-37.6368,263.15,57,75,2.06,GL,1612117527
103,Lorengau,-2.0226,147.2712,301.28,80,99,5.25,PG,1612117528
104,Maués,-3.3836,-57.7186,307.27,45,13,2.29,BR,1612117528
105,Bubaque,11.2833,-15.8333,299.19,69,95,5.88,GW,1612117420
106,Grand Gaube,-20.0064,57.6608,300.37,75,49,2.68,MU,1612117303
107,Mrakovo,52.7161,56.6244,266.85,93,18,2.37,RU,1612117529
108,Fortuna,40.5982,-124.1573,284.82,93,90,10.29,US,1612117529
109,Yellowknife,62.456,-114.3525,250.93,84,75,2.57,CA,1612117530
110,Tocopilla,-22.092,-70.1979,297.07,50,17,5.18,CL,1612117530
111,Carnarvon,-24.8667,113.6333,303.15,51,19,8.23,AU,1612117530
112,Hushitai,41.9322,123.5114,272.15,80,75,4.0,CN,1612117530
113,Flinders,-34.5833,150.8552,293.15,91,99,0.45,AU,1612117530
114,Faya,18.3851,42.4509,289.15,39,0,3.09,SA,1612117530
115,Lockhart,28.6194,-81.4426,299.15,47,20,7.72,US,1612117531
116,Hambantota,6.1241,81.1185,297.15,100,75,2.57,LK,1612117531
117,Port Blair,11.6667,92.75,299.72,79,0,5.34,IN,1612117531
118,Jumla,29.2747,82.1838,273.77,73,0,1.47,NP,1612117531
119,Arrondissement de Gap,44.6667,6.0,277.59,72,75,0.89,FR,1612117532
120,Bredasdorp,-34.5322,20.0403,291.48,90,37,3.58,ZA,1612117532
121,Petropavlovka,50.6114,105.3196,242.59,76,25,2.36,RU,1612117532
122,Bengkulu,-3.8004,102.2655,297.51,85,100,2.28,ID,1612117532
123,Dunedin,-45.8742,170.5036,289.26,69,100,2.34,NZ,1612117532
124,Matara,5.9485,80.5353,297.33,88,1,2.67,LK,1612117294
125,Codrington,-38.2667,141.9667,284.29,87,33,3.26,AU,1612117403
126,Kalamare,-22.9337,26.5703,295.17,81,83,2.0,BW,1612117533
127,Hilo,19.7297,-155.09,293.15,83,90,4.12,US,1612117533
128,Keffi,8.8486,7.8736,304.15,29,6,4.12,NG,1612117533
129,Los Llanos de Aridane,28.6585,-17.9182,292.15,77,20,6.69,ES,1612117533
130,Umluj,25.0213,37.2685,294.83,52,0,5.25,SA,1612117533
131,Malakal,9.5334,31.6605,301.44,18,0,2.84,SS,1612117534
132,Maningrida,-12.0667,134.2667,298.24,86,95,4.8,AU,1612117534
133,Salta,-24.7859,-65.4117,296.15,64,75,3.09,AR,1612117534
134,Lebu,-37.6167,-73.65,290.15,71,0,6.85,CL,1612117534
135,Lompoc,34.6391,-120.4579,285.37,81,1,3.6,US,1612117534
136,Okha,53.5739,142.9478,248.24,81,83,9.89,RU,1612117535
137,Port-Gentil,-0.7193,8.7815,301.15,83,40,2.06,GA,1612117281
138,Udomlya,57.8794,34.9925,266.7,97,99,2.92,RU,1612117482
139,Leningradskiy,69.3833,178.4167,242.5,85,67,4.13,RU,1612117547
140,Esmeraldas,-19.7625,-44.3139,304.15,42,75,3.09,BR,1612117547
141,San Rafael,-34.6177,-68.3301,286.07,87,100,5.79,AR,1612117548
142,Gebre Guracha,9.8,38.4,287.52,35,11,3.6,ET,1612117548
143,Sorong,-0.8833,131.25,300.07,80,100,2.74,ID,1612117548
144,Faanui,-16.4833,-151.75,300.4,75,97,5.07,PF,1612117548
145,Benguela,-12.5763,13.4055,298.88,72,67,2.72,AO,1612117548
146,Flin Flon,54.7682,-101.865,264.15,86,75,0.72,CA,1612117548
147,Stephenville,32.2207,-98.2023,284.15,46,1,6.17,US,1612117549
148,Sinnamary,5.3833,-52.95,300.16,74,43,6.44,GF,1612117549
149,Atar,20.5169,-13.0499,302.13,13,80,6.19,MR,1612117549
150,Batemans Bay,-35.7167,150.1833,290.37,96,88,1.15,AU,1612117268
151,Kruisfontein,-34.0033,24.7314,295.37,74,0,3.13,ZA,1612117549
152,Manaure,11.7751,-72.4445,303.59,52,87,12.44,CO,1612117549
153,Caravelas,-17.7125,-39.2481,302.17,59,16,4.66,BR,1612117550
154,Bethel,41.3712,-73.414,267.59,49,20,1.43,US,1612117405
155,Port Elizabeth,-33.918,25.5701,294.15,83,0,6.17,ZA,1612117550
156,Dali,25.7,100.1833,278.78,75,53,1.61,CN,1612117550
157,Vlorë,40.4667,19.4897,287.12,79,100,8.18,AL,1612117550
158,Tsimmerbude,54.675,20.1347,272.15,74,75,6.0,RU,1612117358
159,Geraldton,-28.7667,114.6,295.15,73,0,3.6,AU,1612117551
160,Nanortalik,60.1432,-45.2371,274.1,86,100,4.1,GL,1612117551
161,Saint-Philippe,-21.3585,55.7679,300.15,65,0,3.6,RE,1612117551
162,Lianran,24.9227,102.485,280.93,70,0,4.0,CN,1612117551
163,Hong Kong,22.2855,114.1577,291.48,77,41,4.6,HK,1612117353
164,Tadine,-21.55,167.8833,297.41,80,60,9.31,NC,1612117552
165,Tahe,52.3333,124.7333,238.87,84,80,1.05,CN,1612117553
166,Looc,12.2605,121.9926,298.19,78,54,6.53,PH,1612117553
167,Laguna,38.421,-121.4238,286.48,66,90,2.06,US,1612117553
168,Hermanus,-34.4187,19.2345,291.48,90,38,3.58,ZA,1612117553
169,Pitimbu,-7.4706,-34.8086,303.15,66,75,7.2,BR,1612117566
170,Anadyr,64.75,177.4833,255.37,85,90,13.0,RU,1612117566
171,Amapá,1.0,-52.0,299.75,92,31,1.93,BR,1612117566
172,Killybegs,54.6333,-8.45,277.15,87,90,7.72,IE,1612117566
173,Zima,53.9202,102.0442,236.52,81,0,1.09,RU,1612117566
174,Teruel,40.6667,-0.6667,290.15,66,0,9.26,ES,1612117566
175,San Quintín,30.4833,-115.95,289.21,55,93,0.46,MX,1612117567
176,Dikson,73.5069,80.5464,239.43,78,47,3.69,RU,1612117567
177,Hervey Bay,-25.2986,152.8535,296.48,100,5,3.09,AU,1612117567
178,Saint Anthony,45.0205,-93.218,273.71,80,90,3.09,US,1612117567
179,Kotovo,50.3211,44.8012,275.12,98,100,6.79,RU,1612117567
180,San Cristobal,7.7669,-72.225,306.15,35,20,9.26,VE,1612117567
181,Englehart,47.8169,-79.8664,255.15,85,1,1.94,CA,1612117568
182,Cidreira,-30.1811,-50.2056,301.19,76,99,2.3,BR,1612117292
183,Husavik,66.0449,-17.3389,259.15,78,0,1.03,IS,1612117568
184,Zyryanka,65.75,150.85,239.27,83,100,7.71,RU,1612117568
185,Kodinsk,58.6881,99.1844,234.32,79,4,0.94,RU,1612117568
186,Itaituba,-4.2761,-55.9836,300.15,83,40,1.66,BR,1612117568
187,Mandalgovi,45.7625,106.2708,249.29,79,24,9.41,MN,1612117569
188,Dauphin,51.1494,-100.0502,266.15,86,90,1.2,CA,1612117569
189,Mitsamiouli,-11.3847,43.2844,301.3,72,33,4.02,KM,1612117569
190,Tuktoyaktuk,69.4541,-133.0374,238.15,75,75,1.03,CA,1612117569
191,Butaritari,3.0707,172.7902,300.2,81,64,5.72,KI,1612117569
192,Mehamn,71.0357,27.8492,270.15,86,75,6.17,NO,1612117364
193,Candelaria,13.9311,121.4233,295.93,92,76,2.77,PH,1612117571
194,Evensk,61.95,159.2333,250.93,80,100,7.67,RU,1612117572
195,Pisco,-13.7,-76.2167,298.15,61,0,3.6,PE,1612117308
196,Airai,-8.9266,125.4092,289.43,100,100,1.52,TL,1612117573
197,Sangar,63.9242,127.4739,229.64,77,81,2.53,RU,1612117394
198,Sambava,-14.2667,50.1667,299.79,80,2,3.62,MG,1612117574
199,Thinadhoo,0.5333,72.9333,301.29,74,100,5.37,MV,1612117574
200,Kigoma,-4.8769,29.6267,297.98,74,96,1.74,TZ,1612117574
